time	size	parameter
352	a-50	random
359	a-50	random
428	a-50	random
339	a-50	random
327	a-50	random
380	a-50	random
358	a-50	random
302	a-50	random
460	a-50	random
519	a-50	random
392	a-50	random
340	a-50	random
340	a-50	random
338	a-50	random
335	a-50	random
396	a-50	random
313	a-50	random
356	a-50	random
448	a-50	random
385	a-50	random
376	a-50	random
301	a-50	random
334	a-50	random
336	a-50	random
344	a-50	random
340	a-50	random
338	a-50	random
370	a-50	random
362	a-50	random
336	a-50	random
334	a-50	random
302	a-50	random
340	a-50	random
322	a-50	random
330	a-50	random
299	a-50	random
335	a-50	random
308	a-50	random
321	a-50	random
302	a-50	random
376	a-50	random
398	a-50	random
305	a-50	random
292	a-50	random
368	a-50	random
331	a-50	random
375	a-50	random
529	a-50	random
392	a-50	random
376	a-50	random
355	a-50	random
422	a-50	random
368	a-50	random
355	a-50	random
357	a-50	random
454	a-50	random
360	a-50	random
349	a-50	random
347	a-50	random
341	a-50	random
345	a-50	random
340	a-50	random
342	a-50	random
334	a-50	random
336	a-50	random
339	a-50	random
353	a-50	random
379	a-50	random
349	a-50	random
364	a-50	random
300	a-50	random
323	a-50	random
337	a-50	random
306	a-50	random
302	a-50	random
324	a-50	random
336	a-50	random
340	a-50	random
320	a-50	random
311	a-50	random
332	a-50	random
353	a-50	random
343	a-50	random
316	a-50	random
343	a-50	random
335	a-50	random
339	a-50	random
360	a-50	random
352	a-50	random
339	a-50	random
324	a-50	random
325	a-50	random
329	a-50	random
333	a-50	random
337	a-50	random
332	a-50	random
326	a-50	random
323	a-50	random
309	a-50	random
312	a-50	random
360	a-50	random
346	a-50	random
337	a-50	random
367	a-50	random
327	a-50	random
381	a-50	random
345	a-50	random
351	a-50	random
331	a-50	random
368	a-50	random
360	a-50	random
372	a-50	random
341	a-50	random
333	a-50	random
359	a-50	random
347	a-50	random
341	a-50	random
343	a-50	random
342	a-50	random
341	a-50	random
336	a-50	random
348	a-50	random
344	a-50	random
396	a-50	random
347	a-50	random
445	a-50	random
388	a-50	random
462	a-50	random
387	a-50	random
414	a-50	random
368	a-50	random
332	a-50	random
329	a-50	random
349	a-50	random
353	a-50	random
340	a-50	random
368	a-50	random
409	a-50	random
371	a-50	random
322	a-50	random
325	a-50	random
341	a-50	random
339	a-50	random
334	a-50	random
322	a-50	random
345	a-50	random
344	a-50	random
326	a-50	random
374	a-50	random
337	a-50	random
330	a-50	random
333	a-50	random
313	a-50	random
332	a-50	random
332	a-50	random
431	a-50	random
429	a-50	random
372	a-50	random
392	a-50	random
340	a-50	random
335	a-50	random
336	a-50	random
317	a-50	random
334	a-50	random
340	a-50	random
334	a-50	random
334	a-50	random
337	a-50	random
332	a-50	random
335	a-50	random
332	a-50	random
332	a-50	random
334	a-50	random
333	a-50	random
355	a-50	random
342	a-50	random
337	a-50	random
345	a-50	random
354	a-50	random
373	a-50	random
328	a-50	random
345	a-50	random
329	a-50	random
302	a-50	random
347	a-50	random
